epoch,loss,step,val_loss
0,1364.3592529296875,49,
0,1044.9290771484375,99,
0,,108,1289.23095703125
1,1851.53515625,149,
1,1273.92578125,199,
1,,217,1258.5059814453125
2,1178.640869140625,249,
2,1831.3323974609375,299,
2,,326,1526.6654052734375
3,909.1807861328125,349,
3,912.6126708984375,399,
3,,435,1225.0906982421875
4,1194.750732421875,449,
4,1282.307373046875,499,
4,,544,1217.9652099609375
5,2105.049560546875,549,
5,1088.278564453125,599,
5,674.9366455078125,649,
5,,653,1184.2850341796875
6,878.358642578125,699,
6,1084.888916015625,749,
6,,762,1321.747314453125
7,614.2464599609375,799,
7,1486.1578369140625,849,
7,,871,1161.0162353515625
8,803.2005615234375,899,
8,1793.612060546875,949,
8,,980,1164.93603515625
9,859.840576171875,999,
9,784.3639526367188,1049,
9,,1089,1888.6116943359375
10,1543.881591796875,1099,
10,789.267578125,1149,
10,,1198,1261.986083984375
